2022-12-20 11:18:56 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:18:57 INFO  ComputerPage :33 - Get page title text : [[ChromeDriver: chrome on WINDOWS (7423aa8a34ab2aada0f07313f4dd862f)] -> css selector: div[class='page-title'] h1]
2022-12-20 11:19:01 INFO  HomePage :49 - Click on login link : [[ChromeDriver: chrome on WINDOWS (4c7805c280c0fc6ea070124391bdf756)] -> link text: Log in]
2022-12-20 11:19:02 INFO  LoginPage :42 - Get welcome text : [[ChromeDriver: chrome on WINDOWS (4c7805c280c0fc6ea070124391bdf756)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-12-20 11:19:05 INFO  HomePage :60 - Click on register link : [[ChromeDriver: chrome on WINDOWS (656ebb1a81fe277ae5dae7f7f7875a22)] -> link text: Register]
2022-12-20 11:19:06 INFO  RegisterPage :82 - Get register text : [[ChromeDriver: chrome on WINDOWS (656ebb1a81fe277ae5dae7f7f7875a22)] -> css selector: div[class='page-title'] h1]
2022-12-20 11:19:53 INFO  HomePage :90 - Click on menu tab : [[[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:19:53 INFO  ComputerPage :40 - Click on sub menu : [[[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 11:19:54 INFO  ComputerPage :33 - Get page title text : [[ChromeDriver: chrome on WINDOWS (7f23b36ae26364d3a95d545d702b2128)] -> css selector: div[class='page-title'] h1]
2022-12-20 11:19:58 INFO  HomePage :49 - Click on login link : [[ChromeDriver: chrome on WINDOWS (4a53c963e278f5edc5151165aa58a6d1)] -> link text: Log in]
2022-12-20 11:19:59 INFO  LoginPage :48 - Enter email : [[ChromeDriver: chrome on WINDOWS (4a53c963e278f5edc5151165aa58a6d1)] -> id: Email]
